Name	Last	Chg. % 1DChg. Abs.	DateTime	ISIN	BidVolume	AskVolume	Maturity	Status
OMV 3,75% Anleihe 24-36/S.21	100.700	0.00%0.000	11/24/202517:30:34	XS2886118236	--	--	09/04/2036	D
HypoVbg 0,36% IHS 20-26/S.182	97.800	0.00%0.000	11/24/202517:00:49	XS2100387526	--	--	01/09/2026	D
HVbg 0,23% Notes 21-29/S.219	90.050	-0.06%-0.050	11/24/202517:00:49	XS2327980509	--	--	04/06/2029	D
HVbg 0,375% Notes 20-30/S.212	86.250	-0.06%-0.050	11/24/202517:00:49	XS2252219105	--	--	11/04/2030	D
HVbg var SV 19-29/S.175	97.850	0.00%0.000	11/24/202517:00:49	XS2037749749	--	--	08/07/2029	D
HVbg 0,741% Anl.19-36/S.178	72.450	-0.07%-0.050	11/24/202517:00:49	XS2066563524	--	--	10/16/2036	D
HVbg 0,86% Anl. 19-34/S.179	78.650	-0.06%-0.050	11/24/202517:00:49	XS2069329964	--	--	10/24/2034	D
HVbg 1,02% SV 20-35/DIP S183	77.950	-0.13%-0.100	11/24/202517:00:49	XS2104132514	--	--	01/17/2035	D
HVbg Fix/Swap-li-FRN 18-28/159	95.900	0.00%0.000	11/24/202517:00:48	XS1877653581	--	--	09/13/2028	D
HVbg Fix/Swap-li-FRN 18-28/158	95.350	-0.05%-0.050	11/24/202517:00:48	XS1859330752	--	--	07/24/2028	D
HVbg 2,62% Anl.25-30/S.300	98.750	0.00%0.000	11/24/202517:00:48	AT0000A3PQ47	--	--	01/10/2030	D
HWBB 3,15% WB-WA 25-35/6  VBG	99.250	-0.10%-0.100	11/24/202517:00:48	AT0000A3HRE5	--	--	02/19/2035	D
HVbg fix/swap Rate Notes 01-31	100.550	-0.10%-0.100	11/24/202517:00:48	XS0132540955	--	--	07/11/2031	D
HVbg 2,60% Anl.25-28/S.290	99.700	+0.05%+0.050	11/24/202517:00:48	AT0000A3K8W6	99.700-	100.700-	03/24/2028	D
HVbg Fix/Swap-li-FRN 18-28/163	95.650	0.00%0.000	11/24/202517:00:48	XS1915000753	--	--	11/27/2028	D
HWBB 3,15% WB-WA 25-35/12 Vbg	98.750	-0.10%-0.100	11/24/202517:00:48	AT0000A3MRG0	--	--	07/16/2035	D
Hypo Vbg. 3% Anl.25-30/S.288	100.050	-0.05%-0.050	11/24/202517:00:48	AT0000A3HN16	--	--	01/21/2030	D
HVbg CMS Floater25-33/S.293	96.550	-0.05%-0.050	11/24/202517:00:48	AT0000A3L7J4	--	--	04/25/2033	D
HVbg Fix/Swap-li-FRN 18-28/161	96.150	0.00%0.000	11/24/202517:00:48	XS1892228401	--	--	10/11/2028	D
HVbg var-SV 19-29/S.170	97.200	0.00%0.000	11/24/202517:00:48	XS2002726847	--	--	05/27/2029	D
HWBB 3,50% WB-WA 24-34/4 VBG	103.200	-0.10%-0.100	11/24/202517:00:47	AT0000A3A1Y9	--	--	02/21/2034	D
HVbg 5,50% NR-Anl.24-34/S.278	105.850	-0.09%-0.100	11/24/202517:00:47	AT0000A3DBT6	--	--	06/28/2034	D
HWBB 3,00% WB-WA 24-34/14/VBG	98.400	-0.10%-0.100	11/24/202517:00:47	AT0000A3FMW2	--	--	10/23/2034	D
HVbg 2,85% KMU Anl.24-29/S.287	99.300	-0.05%-0.050	11/24/202517:00:47	AT0000A3FWL4	--	--	01/16/2029	D
HVbg 3,25% Anleihe 24-29/S.270	100.950	-0.05%-0.050	11/24/202517:00:47	AT0000A39K95	--	--	01/15/2029	D
HWBB 4,00% WB-WA 23-33/18 VBG	108.350	-0.09%-0.100	11/24/202517:00:47	AT0000A38J81	--	--	12/22/2033	D
HypVbg 3,7% KMU Anl.23-28/S266	102.450	-0.05%-0.050	11/24/202517:00:47	AT0000A381H1	--	--	01/25/2028	D
HVbg 3,25% Anleihe 24-27/S.269	100.150	0.00%0.000	11/24/202517:00:47	AT0000A39K87	--	--	01/15/2027	D
HVbg 3,8%GreenBond23-26/S.267	100.300	-0.05%-0.050	11/24/202517:00:47	AT0000A38JB4	--	--	06/18/2026	D
HVbg 3,25% Anl.24-27II/S.281	100.800	-0.05%-0.050	11/24/202517:00:47	AT0000A3DYL5	--	--	07/23/2027	D
HVbg 3,30% Anl.24-29/S.282	101.300	-0.05%-0.050	11/24/202517:00:47	AT0000A3DYM3	--	--	07/23/2029	D
HWBB 3,50% WB-WA 24-34/9 VBG	103.500	-0.10%-0.100	11/24/202517:00:47	AT0000A3BPT0	--	--	04/24/2034	D
HWBB 3,90% WB-WA 23-33/6 VBG	106.900	-0.09%-0.100	11/24/202517:00:46	AT0000A359Q8	--	--	07/12/2033	D
HVbg 3,5% KMUAnl.22-27/S.249	101.000	0.00%0.000	11/24/202517:00:46	AT0000A31LF6	--	--	02/25/2027	D
HVbg 3,70% Anleihe 23-26/S.264	100.650	-0.05%-0.050	11/24/202517:00:46	AT0000A36X69	--	--	09/11/2026	D
HVbg 4,75%NR SV 22-32/DIP S252	101.350	-0.10%-0.100	11/24/202517:00:46	AT0000A321S4	--	--	12/20/2032	D
HWBB 4,00% WB-WA 23-33/13, VBG	108.450	-0.09%-0.100	11/24/202517:00:46	AT0000A373X5	--	--	10/18/2033	D
HWBB 4 % WB-WA 23-33/17 VBG	108.550	-0.09%-0.100	11/24/202517:00:46	AT0000A37UU3	--	--	11/15/2033	D
HVbg MinMax-Anl.22-27-II/S244	99.050	-0.05%-0.050	11/24/202517:00:46	AT0000A30350	--	--	10/06/2027	D
HVbg 3,5%KMU22-27 II/DIP S.251	100.850	0.00%0.000	11/24/202517:00:46	AT0000A32182	--	--	01/27/2027	D
HVbg 3,75%  Anl 23-27/S.261	102.250	0.00%0.000	11/24/202517:00:46	AT0000A34824	--	--	10/05/2027	D
HVbg 2,125% Anl. 22-26/S.243	99.550	0.00%0.000	11/24/202517:00:46	AT0000A30368	--	--	10/06/2026	D
HVbg 3 % Anl. 22-30/DIP S.240	99.350	-0.10%-0.100	11/24/202517:00:46	AT0000A2YXL5	--	--	07/19/2030	D
HVbg Green Bond 23-28/S.253	100.950	-0.05%-0.050	11/24/202517:00:46	AT0000A325P1	--	--	02/07/2028	D
HVbg 3,70% Anleihe 23-28/S.265	103.100	-0.05%-0.050	11/24/202517:00:46	AT0000A36X77	--	--	09/11/2028	D
HVbg 1,875% Green 22-27/S.236	98.550	0.00%0.000	11/24/202517:00:45	AT0000A2XMH8	--	--	06/30/2027	D
HWBB MinMax-WA19-30/12/Vbg/5	96.150	0.00%0.000	11/24/202517:00:45	AT0000A28Z42	--	--	11/04/2030	D
HVbg Min-Max Fltr.19-26	98.150	0.00%0.000	11/24/202517:00:45	AT0000A288B1	--	--	06/05/2026	D
HYPO VBG 6,125% AT1-Anl.18/S.2	88.950	-0.06%-0.050	11/24/202517:00:45	AT0000A20DC3	--	--	open-end	D
HWBB MiniMax WA19-30/1 Vbg	96.550	0.00%0.000	11/24/202517:00:45	AT0000A25HY7	--	--	04/02/2030	D
HWBB MinMax-WA 19-30/11/Vbg/4	96.250	0.00%0.000	11/24/202517:00:45	AT0000A28FL2	--	--	09/11/2030	D
HWBB Stz-WA.19-30/9 Vbg	93.100	-0.05%-0.050	11/24/202517:00:45	AT0000A27ZM0	--	--	07/02/2030	D
HWBB MiniMax WA Vbg.18-29/7	96.700	0.00%0.000	11/24/202517:00:45	AT0000A23GH9	--	--	12/10/2029	D
HVbg 0,67 % Anl. 19-26/S.171	97.400	0.00%0.000	11/24/202517:00:45	AT0000A28CN5	--	--	06/03/2026	D
HWBB MiniMax WA19-30/7 Vbg	96.550	0.00%0.000	11/24/202517:00:45	AT0000A26812	--	--	05/02/2030	D
HVbg 0,39% Anleihe 20-27/S.201	95.050	0.00%0.000	11/24/202517:00:45	AT0000A2HTS3	--	--	08/05/2027	D
HVbg MiniMax-Anl. 22-27/S.237	98.850	0.00%0.000	11/24/202517:00:45	AT0000A2YBF3	--	--	06/30/2027	D
Vbg LHB Add Tier1-Anl. 2016	96.750	0.00%0.000	11/24/202517:00:44	AT0000A1LKA4	--	--	open-end	D
HYPO-WOHN.WANDEL.16-27/10	98.850	0.00%0.000	11/24/202517:00:44	AT0000A1LDY9	--	--	06/21/2027	D
HYPO-WOHN.WANDEL.16-27/9	99.600	0.00%0.000	11/24/202517:00:44	AT0000A1KUY5	--	--	04/26/2027	D
HYPOVbgHYP-EUROP-DIV-GAR.17-25	97.950	0.00%0.000	11/24/202517:00:44	AT0000A1YXS2	--	--	12/05/2025	D
HYPO-WOHN.WANDEL.16-27/17	99.250	-0.05%-0.050	11/24/202517:00:44	AT0000A1PN91	--	--	12/07/2027	D
HYPO-WOHN.WANDEL.17-29/4	97.300	-0.05%-0.050	11/24/202517:00:44	AT0000A1QEF5	--	--	01/31/2029	D
HYPO-WOHN.WANDEL.16-27/16	98.850	0.00%0.000	11/24/202517:00:44	AT0000A1PN83	--	--	12/07/2027	D
HWBB Stfz.-WA18-29/5 Vbg	96.600	-0.05%-0.050	11/24/202517:00:44	AT0000A1ZTW9	96.6509,000	98.100-	03/20/2029	D
HYPO-WOHN.WANDEL.17-28/9	98.400	0.00%0.000	11/24/202517:00:44	AT0000A1U842	--	--	03/27/2028	D
HYPO-WOHN.WANDEL 17-28/6	98.150	0.00%0.000	11/24/202517:00:44	AT0000A1TMZ0	--	--	02/21/2028	D
HYPO-WOHN.WANDEL.16-27/13	98.800	0.00%0.000	11/24/202517:00:44	AT0000A1MCE1	--	--	08/09/2027	D
HYPOVbg 3,125% Nr SV 17-27	98.950	0.00%0.000	11/24/202517:00:44	AT0000A1YQ55	--	--	10/27/2027	D
HYPO-WOHN.WANDEL.17-28/10	98.400	-0.05%-0.050	11/24/202517:00:44	AT0000A1UXM3	--	--	04/11/2028	D
HYPO-WOHN.WANDEL.14-27/10	100.950	-0.05%-0.050	11/24/202517:00:43	AT0000A161B0	--	--	03/24/2027	D
HYPO-WOHN.WANDEL.16-27/4	99.900	0.00%0.000	11/24/202517:00:43	AT0000A1JG64	--	--	02/15/2027	D
HYPO-WOHN.WANDEL.14-26/22	98.700	0.00%0.000	11/24/202517:00:43	AT0000A1AK67	--	--	12/09/2026	D
HYPO-WOHN.WANDEL.15-27/13	98.700	-0.05%-0.050	11/24/202517:00:43	AT0000A1EZS9	--	--	07/08/2027	D
HYPO-WOHN.WANDEL.16-27/7	99.600	0.00%0.000	11/24/202517:00:43	AT0000A1KKW0	--	--	03/30/2027	D
HYPO-WOHN.WANDEL.14-26/17	99.200	0.00%0.000	11/24/202517:00:43	AT0000A19SA7	--	--	10/27/2026	D
VbgLHB 4,5% NR SV 15-25	99.050	0.00%0.000	11/24/202517:00:43	AT0000A1GTF4	--	--	12/01/2025	D
HYPO-WOHN.WANDEL.15-26/18	99.500	0.00%0.000	11/24/202517:00:43	AT0000A1H567	--	--	11/26/2026	D
HYPO-WOHN.WANDEL.16-27/6	98.850	0.00%0.000	11/24/202517:00:43	AT0000A1KAR1	--	--	03/08/2027	D
HYPO-WOHN.WANDEL.15-26/17	99.900	-0.25%-0.250	11/24/202517:00:43	AT0000A1H559	--	--	11/26/2026	D
HYPO-WOHN.WANDEL.16-27/5	99.900	-0.05%-0.050	11/24/202517:00:43	AT0000A1JWT3	--	--	02/22/2027	D
HYP.W WB.WDL 13-26/10	99.550	0.00%0.000	11/24/202517:00:42	AT0000A0ZDU9	--	--	03/20/2026	D
voestalpine 1,75% Anl.19-26/S1	99.590	-0.09%-0.090	11/24/202516:16:00	AT0000A27LQ1	--	--	04/10/2026	D
2,80% Bundesanl. 2025-2032/2	100.510	-0.06%-0.060	11/24/202516:00:01	AT0000A3NY15	--	--	09/20/2032	D
2,50% Bundesanl. 2024-2029/3	100.570	-0.06%-0.060	11/24/202516:00:01	AT0000A3EPP2	--	--	10/20/2029	D
1,85% Bundesanl. 22-49/3 (G)	72.250	-0.01%-0.010	11/24/202516:00:00	AT0000A2Y8G4	--	--	05/23/2049	D
2,10% Bundesanl. 2017-2117/3	58.840	-0.07%-0.040	11/24/202516:00:00	AT0000A1XML2	--	--	09/20/2117	D
2,90% Bundesanl. 2023-2033/1	100.820	-0.04%-0.040	11/24/202516:00:00	AT0000A324S8	--	--	02/20/2033	D
0,00% Bundesanl. 2022-2028/1	93.910	-0.04%-0.040	11/24/202516:00:00	AT0000A2VB47	--	--	10/20/2028	D
3,15% Bundesanl. 2012-2044/4	95.020	0.00%0.000	11/24/202516:00:00	AT0000A0VRQ6	--	--	06/20/2044	D
0,70% Bundesanl. 2021-2071/2	35.050	-0.14%-0.050	11/24/202516:00:00	AT0000A2QQB6	--	--	04/20/2071	D
0,85% Bundesanl. 2020-2120/4	30.820	+0.10%+0.030	11/24/202516:00:00	AT0000A2HLC4	--	--	06/30/2120	D
3,80% Bundesanl. 2012-2062/1	100.760	-0.02%-0.020	11/24/202516:00:00	AT0000A0U299	--	--	01/26/2062	D
4,85% Bundesanl. 2009-2026/2	100.830	-0.01%-0.010	11/24/202516:00:00	AT0000A0DXC2	--	--	03/15/2026	D
2,00% Bundesanl. 2022-2026/4	99.960	0.00%0.000	11/24/202516:00:00	AT0000A308C5	--	--	07/15/2026	D
2,95% Bundesanl. 2025-2035/1	99.650	-0.03%-0.030	11/24/202516:00:00	AT0000A3HU25	--	--	02/20/2035	D
0,00% Bundesanl. 2021-2031/1	87.610	-0.05%-0.040	11/24/202516:00:00	AT0000A2NW83	--	--	02/20/2031	D
0,50% Bundesanl. 2019-2029/1	94.570	-0.04%-0.040	11/24/202516:00:00	AT0000A269M8	--	--	02/20/2029	D
3,45% Bundesanl. 2023-2030/4	104.350	-0.07%-0.070	11/24/202516:00:00	AT0000A38239	--	--	10/20/2030	D
0,75% Bundesanl. 2020-2051/3	52.550	+0.02%+0.010	11/24/202516:00:00	AT0000A2EJ08	--	--	03/20/2051	D
1,50% Bundesanl. 2016-2086/4	47.920	-0.17%-0.080	11/24/202516:00:00	AT0000A1PEF7	--	--	11/02/2086	D
4,15% Bundesanl. 2007-2037/1	109.290	-0.02%-0.020	11/24/202516:00:00	AT0000A04967	--	--	03/15/2037	D
6,25% Bundesanl. 1997-2027/6	106.730	-0.03%-0.030	11/24/202516:00:00	AT0000383864	--	--	07/15/2027	D
2,90% Bundesanl. 23-29/2 (G)	102.120	-0.06%-0.060	11/24/202516:00:00	AT0000A33SH3	--	--	05/23/2029	D
0,00% Bundesanl. 2020-2040/5	60.490	0.00%0.000	11/24/202516:00:00	AT0000A2KQ43	--	--	10/20/2040	D
0,50% Bundesanl. 2017-2027/1	97.920	-0.01%-0.010	11/24/202516:00:00	AT0000A1VGK0	--	--	04/20/2027	D
3,20% Bundesanl. 2024-2039/2	98.720	-0.02%-0.020	11/24/202516:00:00	AT0000A3D3Q8	--	--	07/15/2039	D
0,75% Bundesanl. 2018-2028/1	97.110	-0.02%-0.020	11/24/202516:00:00	AT0000A1ZGE4	--	--	02/20/2028	D
1,50% Bundesanl. 2016-2047/2	69.160	-0.10%-0.070	11/24/202516:00:00	AT0000A1K9F1	--	--	02/20/2047	D
2,40% Bundesanl. 2013-2034/1	96.230	-0.03%-0.030	11/24/202516:00:00	AT0000A10683	--	--	05/23/2034	D
2,90% Bundesanl. 2024-2034/1	100.130	-0.03%-0.030	11/24/202516:00:00	AT0000A39UW5	--	--	02/20/2034	D
0,00% Bundesanl. 2020-2030/1	90.420	-0.06%-0.050	11/24/202516:00:00	AT0000A2CQD2	--	--	02/20/2030	D
0,25% Bundesanl. 2021-2036/4	73.540	-0.04%-0.030	11/24/202516:00:00	AT0000A2T198	--	--	10/20/2036	D
3,15% Bundesanl. 2023-2053/3	90.010	+0.03%+0.030	11/24/202516:00:00	AT0000A33SK7	--	--	10/20/2053	D
0,75% Bundesanl. 2016-2026/1	98.900	-0.01%-0.010	11/24/202516:00:00	AT0000A1K9C8	--	--	10/20/2026	D
0,90% Bundesanl. 2022-2032/2	90.010	-0.06%-0.050	11/24/202516:00:00	AT0000A2WSC8	--	--	02/20/2032	D
sWBB KMU WBA 15-26/12	97.100	-0.51%-0.500	11/24/202514:30:50	AT000B116561	--	--	01/16/2026	D
BAWAGPSK WBB 3,75% Anl.23-26/1	100.800	0.00%0.000	11/24/202514:15:28	AT0000A35MS8	--	--	09/18/2026	D
RLB STMK 3,5% OBL 23-26/8	100.150	-0.05%-0.050	11/24/202514:15:19	AT000B093877	--	--	01/23/2026	D
HWBB 3,25% WB-WA 24-36/7  OOE	96.750	-0.82%-0.800	11/24/202514:15:14	AT0000A3AZV7	--	--	03/07/2036	D
Hypo-WBB WA OOE. 17-28/2	95.850	0.00%0.000	11/24/202514:15:12	AT0000A1Q055	--	--	01/12/2028	D
Hypo-WBB WA Stmk. 14-26/20	99.550	+0.05%+0.050	11/24/202514:15:11	AT0000A1A380	--	--	11/04/2026	D
SbgLHB 3,125%  EK SV 18-28	92.510	0.00%0.000	11/24/202514:15:08	AT000B023387	--	--	02/23/2028	D
RLBTir KMU-Anleihe 19-26/S.9	96.950	+0.15%+0.150	11/24/202514:15:08	AT0000A2B5T0	--	--	11/25/2026	D
HWBB MinimaxWA19-29/3 Tirol	97.610	+0.03%+0.030	11/24/202514:15:07	AT0000A25J86	--	--	01/07/2029	D
RLB STMK 2,35% OBL 25-28/3	99.700	-0.80%-0.800	11/24/202514:15:06	AT000B094131	--	--	01/21/2028	D
BKS Additional Tier1-Anl. 2017	100.010	-0.98%-0.990	11/24/202514:15:06	AT0000A1VNV3	--	--	open-end	D
HWBB MinMax WB-WA 20-32/3 OOE	88.100	-0.34%-0.300	11/24/202514:15:06	AT0000A2HTF0	--	--	08/14/2032	D
sWBB 2,90% Wohnbauanl.25-36/03	101.010	0.00%0.000	11/24/202514:15:05	AT000B116975	--	--	04/06/2036	D
BAWAG PSK WBB WA 2,8% 25-35/4	101.000	+1.57%+1.560	11/24/202514:15:00	AT0000A3MNN5	--	--	09/05/2035	D
OMV 3,875% Notes 25-40/S.23	96.590	+0.08%+0.080	11/24/202513:53:55	XS3225966939	--	--	11/10/2040	D
BKS 3,60% Obligation 23-29/S.4	102.100	-0.24%-0.250	11/24/202513:00:29	AT0000A33N15	--	--	04/24/2029	D
BTV KSA Eur. ESG 22-29/10	121.700	-0.60%-0.730	11/24/202513:00:24	AT0000A2ZXP3	--	--	09/28/2029	D
3BK-WBB Stuf.Zi.WA.16-26/Oberb	98.200	0.00%0.000	11/24/202513:00:22	AT0000A1LKC0	--	--	07/15/2026	D
3,375% Reg Nachh Anl ASK 22-27	101.400	+0.03%+0.030	11/24/202513:00:22	AT000B101514	--	--	10/25/2027	D
RBI Infl.li Bd.23-27/S.268	98.810	+0.01%+0.010	11/24/202513:00:20	AT000B015482	--	--	04/14/2027	D
OB Stufenz.Anl. 18-26	99.700	-0.05%-0.050	11/24/202513:00:20	AT000B126883	--	--	10/05/2026	D
3BK-WBB Stuf.Zi.WA.17-27/Oberb	97.520	+0.06%+0.060	11/24/202513:00:14	AT0000A1W4U7	--	--	06/09/2027	D
OB 3,95% Anl. 23-05.05.2028	101.870	0.00%0.000	11/24/202513:00:11	AT000B127345	--	--	05/05/2028	D
RBI Inflations-Anl. 22-27/257	95.000	-0.84%-0.800	11/24/202513:00:10	AT000B015417	--	--	10/13/2027	D
BTV Stuzi Obl 23-28/5	102.450	-0.10%-0.100	11/24/202513:00:09	AT0000A32TA8	--	--	03/07/2028	D
ASPKOO 2% NR Anl.20-30/3	89.020	+0.18%+0.160	11/24/202513:00:08	AT000B101407	--	--	10/16/2030	D
BTV KS-Anl.Eur.ESG 20-27/10	117.400	-0.22%-0.260	11/24/202513:00:04	AT0000A2HKQ6	--	--	07/30/2027	D
BTV nr. Anl. 16-26/20	98.700	+0.19%+0.190	11/24/202513:00:02	AT0000A1PHY1	--	--	11/11/2026	D
SPK OO 3,15% Fixzi.Anl.24-29/7	101.180	-0.05%-0.050	11/24/202513:00:01	AT000B101647	--	--	04/26/2029	D
OB 3,75% Anl. 23-24.02.28	101.370	+0.05%+0.050	11/24/202513:00:01	AT000B127329	--	--	02/24/2028	D
UBM 6,75% Green Bonds 25-30	102.000	0.00%0.000	11/24/202512:45:24	AT0000A3PGY9	--	--	10/30/2030	D
S IMMO 1,875% Anl.19-26/S1/19	98.250	0.00%0.000	11/24/202512:45:02	AT0000A285H4	--	--	05/22/2026	D
Hypo-WBB WA NOE. 14-29/8	100.000	+1.21%+1.200	11/24/202510:40:06	AT0000A15VS1	--	--	03/12/2029	D
HNOE 3,40% Anleihe 24-27/04	100.290	0.00%0.000	11/24/202509:21:38	AT0000A3BMM2	--	--	04/15/2027	D
HWBB 4,00% WB-WA 23-34/12 NOE	99.480	+0.10%+0.100	11/24/202509:21:38	AT0000A372V1	--	--	04/11/2034	D
Hypo-WBB WA NOE. 12-27/2	99.730	0.00%0.000	11/24/202509:21:37	AT0000A0V453	--	--	04/04/2027	D
Hypo-WBB WA NOE. 15-27/7	99.670	-0.01%-0.010	11/24/202509:21:37	AT0000A1CBD6	--	--	01/21/2027	D
1,65% Hypo-WBB WA NOE19-31/4S1	89.620	+0.07%+0.060	11/24/202509:21:37	AT0000A25YR6	--	--	07/23/2031	D
Hypo-WBB St.Zi.WA NOE19-31/5S2	92.780	+0.08%+0.070	11/24/202509:21:37	AT0000A25YS4	--	--	07/23/2031	D
Hypo-WBB WA NOE. 12-27/1	101.050	+0.01%+0.010	11/24/202509:21:37	AT0000A0V446	--	--	04/04/2027	D
Hypo-WBB WA NOE. 15-30/6	93.240	+0.05%+0.050	11/24/202509:21:37	AT0000A1CBC8	--	--	01/21/2030	D
Hypo-WBB WA NOE. 11-26/15	100.170	-0.01%-0.010	11/24/202509:21:37	AT0000A0MQY1	--	--	04/01/2026	D
Hypo-WBB WA NOE. 14-26/9	99.700	+0.01%+0.010	11/24/202509:21:37	AT0000A15VT9	--	--	03/12/2026	D
Hypo-WBB WA NOE. 15-30/19	93.430	+0.06%+0.060	11/24/202509:21:37	AT0000A1HQ64	--	--	12/17/2030	D
HYPO NOE 3,8% SV 23-26/03	99.900	+0.08%+0.080	11/24/202509:21:37	AT0000A35A00	--	--	06/09/2026	D
Hypo-WBB WA NOE. 13-28/17	99.420	+0.02%+0.020	11/24/202509:21:37	AT0000A0ZK93	--	--	03/05/2028	D
Hypo-WBB WA NOE. 15-28/20	96.920	+0.01%+0.010	11/24/202509:21:37	AT0000A1HQ72	--	--	12/18/2028	D
var. Hypo-WBB WA NOe 05-26/28	99.770	0.00%0.000	11/24/202509:21:36	AT0000491188	--	--	01/01/2026	D
OMV 1% Fi.Rate Notes 17-26/S.9	98.420	-0.26%-0.260	11/21/202514:41:18	XS1734689620	--	--	12/14/2026	D
RWBB 0,25-1,35%StzWSV 16-26/16	97.500	+1.04%+1.000	11/21/202514:31:37	AT000B124599	--	--	10/19/2026	D
